# Units are in mm. 
# Coordinates are relative to HCal center, same system as G4SBS
# Number of logic patterns = 10
# Number of modules = 264

#cell    x     y     size
    1  -765 -1759.5  153
    2  -765 -1606.5  153
    3  -765 -1453.5  153
    4  -765 -1300.5  153
    5  -765 -1147.5  153
    6  -765  -994.5  153
    7  -765  -841.5  153
    8  -765  -688.5  153
   25  -612 -1759.5  153
   26  -612 -1606.5  153
   27  -612 -1453.5  153
   28  -612 -1300.5  153
   29  -612 -1147.5  153
   30  -612  -994.5  153
   31  -612  -841.5  153
   32  -612  -688.5  153
   49  -459 -1759.5  153
   50  -459 -1606.5  153
   51  -459 -1453.5  153
   52  -459 -1300.5  153
   53  -459 -1147.5  153
   54  -459  -994.5  153
   55  -459  -841.5  153
   56  -459  -688.5  153
   73  -306 -1759.5  153
   74  -306 -1606.5  153
   75  -306 -1453.5  153
   76  -306 -1300.5  153
   77  -306 -1147.5  153
   78  -306  -994.5  153
   79  -306  -841.5  153
   80  -306  -688.5  153
   97  -153 -1759.5  153
   98  -153 -1606.5  153
   99  -153 -1453.5  153
  100  -153 -1300.5  153
  101  -153 -1147.5  153
  102  -153  -994.5  153
  103  -153  -841.5  153
  104  -153  -688.5  153
  121     0 -1759.5  153
  122     0 -1606.5  153
  123     0 -1453.5  153
  124     0 -1300.5  153
  125     0 -1147.5  153
  126     0  -994.5  153
  127     0  -841.5  153
  128     0  -688.5  153
  145   153 -1759.5  153
  146   153 -1606.5  153
  147   153 -1453.5  153
  148   153 -1300.5  153
  149   153 -1147.5  153
  150   153  -994.5  153
  151   153  -841.5  153
  152   153  -688.5  153
  169   306 -1759.5  153
  170   306 -1606.5  153
  171   306 -1453.5  153
  172   306 -1300.5  153
  173   306 -1147.5  153
  174   306  -994.5  153
  175   306  -841.5  153
  176   306  -688.5  153
# node number = 1 with 64 cells
   97  -153 -1759.5  153
   98  -153 -1606.5  153
   99  -153 -1453.5  153
  100  -153 -1300.5  153
  101  -153 -1147.5  153
  102  -153  -994.5  153
  103  -153  -841.5  153
  104  -153  -688.5  153
  121     0 -1759.5  153
  122     0 -1606.5  153
  123     0 -1453.5  153
  124     0 -1300.5  153
  125     0 -1147.5  153
  126     0  -994.5  153
  127     0  -841.5  153
  128     0  -688.5  153
  145   153 -1759.5  153
  146   153 -1606.5  153
  147   153 -1453.5  153
  148   153 -1300.5  153
  149   153 -1147.5  153
  150   153  -994.5  153
  151   153  -841.5  153
  152   153  -688.5  153
  169   306 -1759.5  153
  170   306 -1606.5  153
  171   306 -1453.5  153
  172   306 -1300.5  153
  173   306 -1147.5  153
  174   306  -994.5  153
  175   306  -841.5  153
  176   306  -688.5  153
  193   459 -1759.5  153
  194   459 -1606.5  153
  195   459 -1453.5  153
  196   459 -1300.5  153
  197   459 -1147.5  153
  198   459  -994.5  153
  199   459  -841.5  153
  200   459  -688.5  153
  217   612 -1759.5  153
  218   612 -1606.5  153
  219   612 -1453.5  153
  220   612 -1300.5  153
  221   612 -1147.5  153
  222   612  -994.5  153
  223   612  -841.5  153
  224   612  -688.5  153
  241   765 -1759.5  153
  242   765 -1606.5  153
  243   765 -1453.5  153
  244   765 -1300.5  153
  245   765 -1147.5  153
  246   765  -994.5  153
  247   765  -841.5  153
  248   765  -688.5  153
# node number = 2 with 56 cells
    5  -765 -1147.5  153
    6  -765  -994.5  153
    7  -765  -841.5  153
    8  -765  -688.5  153
    9  -765  -535.5  153
   10  -765  -382.5  153
   11  -765  -229.5  153
   12  -765   -76.5  153
   29  -612 -1147.5  153
   30  -612  -994.5  153
   31  -612  -841.5  153
   32  -612  -688.5  153
   33  -612  -535.5  153
   34  -612  -382.5  153
   35  -612  -229.5  153
   36  -612   -76.5  153
   53  -459 -1147.5  153
   54  -459  -994.5  153
   55  -459  -841.5  153
   56  -459  -688.5  153
   57  -459  -535.5  153
   58  -459  -382.5  153
   59  -459  -229.5  153
   60  -459   -76.5  153
   77  -306 -1147.5  153
   78  -306  -994.5  153
   79  -306  -841.5  153
   80  -306  -688.5  153
   81  -306  -535.5  153
   82  -306  -382.5  153
   83  -306  -229.5  153
   84  -306   -76.5  153
  101  -153 -1147.5  153
  102  -153  -994.5  153
  103  -153  -841.5  153
  104  -153  -688.5  153
  105  -153  -535.5  153
  106  -153  -382.5  153
  107  -153  -229.5  153
  108  -153   -76.5  153
  125     0 -1147.5  153
  126     0  -994.5  153
  127     0  -841.5  153
  128     0  -688.5  153
  129     0  -535.5  153
  130     0  -382.5  153
  131     0  -229.5  153
  132     0   -76.5  153
  149   153 -1147.5  153
  150   153  -994.5  153
  151   153  -841.5  153
  152   153  -688.5  153
  153   153  -535.5  153
  154   153  -382.5  153
  155   153  -229.5  153
  156   153   -76.5  153
  173   306 -1147.5  153
  174   306  -994.5  153
  175   306  -841.5  153
  176   306  -688.5  153
  177   306  -535.5  153
  178   306  -382.5  153
  179   306  -229.5  153
  180   306   -76.5  153
# node number = 3 with 64 cells
  101  -153 -1147.5  153
  102  -153  -994.5  153
  103  -153  -841.5  153
  104  -153  -688.5  153
  105  -153  -535.5  153
  106  -153  -382.5  153
  107  -153  -229.5  153
  108  -153   -76.5  153
  125     0 -1147.5  153
  126     0  -994.5  153
  127     0  -841.5  153
  128     0  -688.5  153
  129     0  -535.5  153
  130     0  -382.5  153
  131     0  -229.5  153
  132     0   -76.5  153
  149   153 -1147.5  153
  150   153  -994.5  153
  151   153  -841.5  153
  152   153  -688.5  153
  153   153  -535.5  153
  154   153  -382.5  153
  155   153  -229.5  153
  156   153   -76.5  153
  173   306 -1147.5  153
  174   306  -994.5  153
  175   306  -841.5  153
  176   306  -688.5  153
  177   306  -535.5  153
  178   306  -382.5  153
  179   306  -229.5  153
  180   306   -76.5  153
  197   459 -1147.5  153
  198   459  -994.5  153
  199   459  -841.5  153
  200   459  -688.5  153
  201   459  -535.5  153
  202   459  -382.5  153
  203   459  -229.5  153
  204   459   -76.5  153
  221   612 -1147.5  153
  222   612  -994.5  153
  223   612  -841.5  153
  224   612  -688.5  153
  225   612  -535.5  153
  226   612  -382.5  153
  227   612  -229.5  153
  228   612   -76.5  153
  245   765 -1147.5  153
  246   765  -994.5  153
  247   765  -841.5  153
  248   765  -688.5  153
  249   765  -535.5  153
  250   765  -382.5  153
  251   765  -229.5  153
  252   765   -76.5  153
# node number = 4 with 56 cells
    9  -765  -535.5  153
   10  -765  -382.5  153
   11  -765  -229.5  153
   12  -765   -76.5  153
   13  -765    76.5  153
   14  -765   229.5  153
   15  -765   382.5  153
   16  -765   535.5  153
   33  -612  -535.5  153
   34  -612  -382.5  153
   35  -612  -229.5  153
   36  -612   -76.5  153
   37  -612    76.5  153
   38  -612   229.5  153
   39  -612   382.5  153
   40  -612   535.5  153
   57  -459  -535.5  153
   58  -459  -382.5  153
   59  -459  -229.5  153
   60  -459   -76.5  153
   61  -459    76.5  153
   62  -459   229.5  153
   63  -459   382.5  153
   64  -459   535.5  153
   81  -306  -535.5  153
   82  -306  -382.5  153
   83  -306  -229.5  153
   84  -306   -76.5  153
   85  -306    76.5  153
   86  -306   229.5  153
   87  -306   382.5  153
   88  -306   535.5  153
  105  -153  -535.5  153
  106  -153  -382.5  153
  107  -153  -229.5  153
  108  -153   -76.5  153
  109  -153    76.5  153
  110  -153   229.5  153
  111  -153   382.5  153
  112  -153   535.5  153
  129     0  -535.5  153
  130     0  -382.5  153
  131     0  -229.5  153
  132     0   -76.5  153
  133     0    76.5  153
  134     0   229.5  153
  135     0   382.5  153
  136     0   535.5  153
  153   153  -535.5  153
  154   153  -382.5  153
  155   153  -229.5  153
  156   153   -76.5  153
  157   153    76.5  153
  158   153   229.5  153
  159   153   382.5  153
  160   153   535.5  153
  177   306  -535.5  153
  178   306  -382.5  153
  179   306  -229.5  153
  180   306   -76.5  153
  181   306    76.5  153
  182   306   229.5  153
  183   306   382.5  153
  184   306   535.5  153
# node number = 5 with 64 cells
  105  -153  -535.5  153
  106  -153  -382.5  153
  107  -153  -229.5  153
  108  -153   -76.5  153
  109  -153    76.5  153
  110  -153   229.5  153
  111  -153   382.5  153
  112  -153   535.5  153
  129     0  -535.5  153
  130     0  -382.5  153
  131     0  -229.5  153
  132     0   -76.5  153
  133     0    76.5  153
  134     0   229.5  153
  135     0   382.5  153
  136     0   535.5  153
  153   153  -535.5  153
  154   153  -382.5  153
  155   153  -229.5  153
  156   153   -76.5  153
  157   153    76.5  153
  158   153   229.5  153
  159   153   382.5  153
  160   153   535.5  153
  177   306  -535.5  153
  178   306  -382.5  153
  179   306  -229.5  153
  180   306   -76.5  153
  181   306    76.5  153
  182   306   229.5  153
  183   306   382.5  153
  184   306   535.5  153
  201   459  -535.5  153
  202   459  -382.5  153
  203   459  -229.5  153
  204   459   -76.5  153
  205   459    76.5  153
  206   459   229.5  153
  207   459   382.5  153
  208   459   535.5  153
  225   612  -535.5  153
  226   612  -382.5  153
  227   612  -229.5  153
  228   612   -76.5  153
  229   612    76.5  153
  230   612   229.5  153
  231   612   382.5  153
  232   612   535.5  153
  249   765  -535.5  153
  250   765  -382.5  153
  251   765  -229.5  153
  252   765   -76.5  153
  253   765    76.5  153
  254   765   229.5  153
  255   765   382.5  153
  256   765   535.5  153
# node number = 6 with 56 cells
   13  -765    76.5  153
   14  -765   229.5  153
   15  -765   382.5  153
   16  -765   535.5  153
   17  -765   688.5  153
   18  -765   841.5  153
   19  -765   994.5  153
   20  -765  1147.5  153
   37  -612    76.5  153
   38  -612   229.5  153
   39  -612   382.5  153
   40  -612   535.5  153
   41  -612   688.5  153
   42  -612   841.5  153
   43  -612   994.5  153
   44  -612  1147.5  153
   61  -459    76.5  153
   62  -459   229.5  153
   63  -459   382.5  153
   64  -459   535.5  153
   65  -459   688.5  153
   66  -459   841.5  153
   67  -459   994.5  153
   68  -459  1147.5  153
   85  -306    76.5  153
   86  -306   229.5  153
   87  -306   382.5  153
   88  -306   535.5  153
   89  -306   688.5  153
   90  -306   841.5  153
   91  -306   994.5  153
   92  -306  1147.5  153
  109  -153    76.5  153
  110  -153   229.5  153
  111  -153   382.5  153
  112  -153   535.5  153
  113  -153   688.5  153
  114  -153   841.5  153
  115  -153   994.5  153
  116  -153  1147.5  153
  133     0    76.5  153
  134     0   229.5  153
  135     0   382.5  153
  136     0   535.5  153
  137     0   688.5  153
  138     0   841.5  153
  139     0   994.5  153
  140     0  1147.5  153
  157   153    76.5  153
  158   153   229.5  153
  159   153   382.5  153
  160   153   535.5  153
  161   153   688.5  153
  162   153   841.5  153
  163   153   994.5  153
  164   153  1147.5  153
  181   306    76.5  153
  182   306   229.5  153
  183   306   382.5  153
  184   306   535.5  153
  185   306   688.5  153
  186   306   841.5  153
  187   306   994.5  153
  188   306  1147.5  153
# node number = 7 with 64 cells
  109  -153    76.5  153
  110  -153   229.5  153
  111  -153   382.5  153
  112  -153   535.5  153
  113  -153   688.5  153
  114  -153   841.5  153
  115  -153   994.5  153
  116  -153  1147.5  153
  133     0    76.5  153
  134     0   229.5  153
  135     0   382.5  153
  136     0   535.5  153
  137     0   688.5  153
  138     0   841.5  153
  139     0   994.5  153
  140     0  1147.5  153
  157   153    76.5  153
  158   153   229.5  153
  159   153   382.5  153
  160   153   535.5  153
  161   153   688.5  153
  162   153   841.5  153
  163   153   994.5  153
  164   153  1147.5  153
  181   306    76.5  153
  182   306   229.5  153
  183   306   382.5  153
  184   306   535.5  153
  185   306   688.5  153
  186   306   841.5  153
  187   306   994.5  153
  188   306  1147.5  153
  205   459    76.5  153
  206   459   229.5  153
  207   459   382.5  153
  208   459   535.5  153
  209   459   688.5  153
  210   459   841.5  153
  211   459   994.5  153
  212   459  1147.5  153
  229   612    76.5  153
  230   612   229.5  153
  231   612   382.5  153
  232   612   535.5  153
  233   612   688.5  153
  234   612   841.5  153
  235   612   994.5  153
  236   612  1147.5  153
  253   765    76.5  153
  254   765   229.5  153
  255   765   382.5  153
  256   765   535.5  153
  257   765   688.5  153
  258   765   841.5  153
  259   765   994.5  153
  260   765  1147.5  153
# node number = 8 with 56 cells
   17  -765   688.5  153
   18  -765   841.5  153
   19  -765   994.5  153
   20  -765  1147.5  153
   21  -765  1300.5  153
   22  -765  1453.5  153
   23  -765  1606.5  153
   24  -765  1759.5  153
   41  -612   688.5  153
   42  -612   841.5  153
   43  -612   994.5  153
   44  -612  1147.5  153
   45  -612  1300.5  153
   46  -612  1453.5  153
   47  -612  1606.5  153
   48  -612  1759.5  153
   65  -459   688.5  153
   66  -459   841.5  153
   67  -459   994.5  153
   68  -459  1147.5  153
   69  -459  1300.5  153
   70  -459  1453.5  153
   71  -459  1606.5  153
   72  -459  1759.5  153
   89  -306   688.5  153
   90  -306   841.5  153
   91  -306   994.5  153
   92  -306  1147.5  153
   93  -306  1300.5  153
   94  -306  1453.5  153
   95  -306  1606.5  153
   96  -306  1759.5  153
  113  -153   688.5  153
  114  -153   841.5  153
  115  -153   994.5  153
  116  -153  1147.5  153
  117  -153  1300.5  153
  118  -153  1453.5  153
  119  -153  1606.5  153
  120  -153  1759.5  153
  137     0   688.5  153
  138     0   841.5  153
  139     0   994.5  153
  140     0  1147.5  153
  141     0  1300.5  153
  142     0  1453.5  153
  143     0  1606.5  153
  144     0  1759.5  153
  161   153   688.5  153
  162   153   841.5  153
  163   153   994.5  153
  164   153  1147.5  153
  165   153  1300.5  153
  166   153  1453.5  153
  167   153  1606.5  153
  168   153  1759.5  153
  185   306   688.5  153
  186   306   841.5  153
  187   306   994.5  153
  188   306  1147.5  153
  189   306  1300.5  153
  190   306  1453.5  153
  191   306  1606.5  153
  192   306  1759.5  153
# node number = 9 with 64 cells
  113  -153   688.5  153
